UserWarning: Using SDL2 binaries from pysdl2-dll 2.32.0
[agent] Loaded ROM: /Users/bdougie/code/pcc-labs/pokemon-kafka/../autotune/rom/Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb
[agent] Strategy: medium
[agent] Evolve params: {"stuck_threshold": 4, "door_cooldown": 10, "waypoint_skip_distance": 3, "axis_preference_map_0": "y", "bt_max_snapshots": 8, "bt_restore_threshold": 19, "bt_max_attempts": 3, "bt_snapshot_interval": 34, "hp_run_threshold": 0.2, "hp_heal_threshold": 0.15, "unknown_move_score": 10.0, "status_move_score": 0.0}
[agent] Running headless — no display
[18:12:30] Agent starting.
[18:12:30] Loaded save state from /Users/bdougie/code/pcc-labs/autotune/states/route1.state. Skipping intro.
[18:12:30] QUEST | map=12 pos=(10,34) facing=up parcel_quest phase=TO_MART map=12 parcel=False pokedex=False target=pilot-north
[18:12:30] OVERWORLD | Map: 12 | Pos: (10, 34) | Badges: 0 | Party: 1 | Action: up | Stuck: 0 | WP: 0→(10,28)
[18:12:30] BATTLE | Lv3 Rattata (normal) | Player HP: 6/22 | Action: fight
[18:12:30] BATTLE | Lv3 Rattata (normal) | Player HP: 22/22 | Action: fight
[18:12:30] BATTLE | Lv3 Rattata (normal) | Player HP: 19/22 | Action: fight
[18:12:30] BATTLE | Lv3 Rattata (normal) | Player HP: 16/22 | Action: fight
[18:12:30] BATTLE | Lv3 Rattata (normal) | Player HP: 16/22 | Action: fight
[18:12:30] Battle ended. Won: True. Total wins: 1
[18:12:30] OVERWORLD | Map: 12 | Pos: (14, 3) | Badges: 0 | Party: 1 | Action: up | Stuck: 0 | WP: 0→(10,28)
[18:12:30] MILESTONE | Reached Viridian City!
[18:12:30] MAP CHANGE | 12 -> 1 | Pos: (21, 35)
[18:12:30] QUEST | map=1 pos=(21,35) facing=up parcel_quest phase=TO_MART map=1 parcel=False pokedex=False target=Viridian Mart door
[18:12:30] STUCK | Map: 1 | Pos: (30, 28) | Last move: right | Streak: 2
[18:12:30] STUCK | Map: 1 | Pos: (29, 28) | Last move: left | Streak: 5
[18:12:30] STUCK | Map: 1 | Pos: (30, 28) | Last move: right | Streak: 10
[18:12:30] STUCK | Map: 1 | Pos: (30, 28) | Last move: right | Streak: 20
[18:12:30] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 27 | WP: 0→(17,17)
[18:12:31] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 77 | WP: 0→(17,17)
[18:12:31] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 127 | WP: 0→(17,17)
[18:12:31] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 177 | WP: 0→(17,17)
[18:12:31] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 227 | WP: 0→(17,17)
[18:12:31] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 277 | WP: 0→(17,17)
[18:12:31] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 327 | WP: 0→(17,17)
[18:12:32] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 377 | WP: 0→(17,17)
[18:12:32] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 427 | WP: 0→(17,17)
[18:12:32] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 477 | WP: 0→(17,17)
[18:12:32] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 527 | WP: 0→(17,17)
[18:12:32] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 577 | WP: 0→(17,17)
[18:12:33] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 627 | WP: 0→(17,17)
[18:12:33] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 677 | WP: 0→(17,17)
[18:12:33] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 727 | WP: 0→(17,17)
[18:12:33] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 777 | WP: 0→(17,17)
[18:12:33] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 827 | WP: 0→(17,17)
[18:12:33] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 877 | WP: 0→(17,17)
[18:12:34] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 927 | WP: 0→(17,17)
[18:12:34] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 977 | WP: 0→(17,17)
[18:12:34] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1027 | WP: 0→(17,17)
[18:12:34] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1077 | WP: 0→(17,17)
[18:12:34] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1127 | WP: 0→(17,17)
[18:12:35] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1177 | WP: 0→(17,17)
[18:12:35] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1227 | WP: 0→(17,17)
[18:12:35] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1277 | WP: 0→(17,17)
[18:12:35] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1327 | WP: 0→(17,17)
[18:12:35] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1377 | WP: 0→(17,17)
[18:12:35] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1427 | WP: 0→(17,17)
[18:12:36] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1477 | WP: 0→(17,17)
[18:12:36] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1527 | WP: 0→(17,17)
[18:12:36] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1577 | WP: 0→(17,17)
[18:12:36] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1627 | WP: 0→(17,17)
[18:12:36] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1677 | WP: 0→(17,17)
[18:12:37] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1727 | WP: 0→(17,17)
[18:12:37] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1777 | WP: 0→(17,17)
[18:12:37] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1827 | WP: 0→(17,17)
[18:12:37] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1877 | WP: 0→(17,17)
[18:12:37] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1927 | WP: 0→(17,17)
[18:12:37] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 1977 | WP: 0→(17,17)
[18:12:38] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2027 | WP: 0→(17,17)
[18:12:38] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2077 | WP: 0→(17,17)
[18:12:38] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2127 | WP: 0→(17,17)
[18:12:38] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2177 | WP: 0→(17,17)
[18:12:38] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2227 | WP: 0→(17,17)
[18:12:39] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2277 | WP: 0→(17,17)
[18:12:39] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2327 | WP: 0→(17,17)
[18:12:39] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2377 | WP: 0→(17,17)
[18:12:39] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2427 | WP: 0→(17,17)
[18:12:39] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2477 | WP: 0→(17,17)
[18:12:39] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2527 | WP: 0→(17,17)
[18:12:40] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2577 | WP: 0→(17,17)
[18:12:40] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2627 | WP: 0→(17,17)
[18:12:40] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2677 | WP: 0→(17,17)
[18:12:40] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2727 | WP: 0→(17,17)
[18:12:40] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2777 | WP: 0→(17,17)
[18:12:41] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2827 | WP: 0→(17,17)
[18:12:41] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2877 | WP: 0→(17,17)
[18:12:41] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2927 | WP: 0→(17,17)
[18:12:41] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 2977 | WP: 0→(17,17)
[18:12:41] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3027 | WP: 0→(17,17)
[18:12:41] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3077 | WP: 0→(17,17)
[18:12:42] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3127 | WP: 0→(17,17)
[18:12:42] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3177 | WP: 0→(17,17)
[18:12:42] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3227 | WP: 0→(17,17)
[18:12:42] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3277 | WP: 0→(17,17)
[18:12:42] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3327 | WP: 0→(17,17)
[18:12:43] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3377 | WP: 0→(17,17)
[18:12:43] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3427 | WP: 0→(17,17)
[18:12:43] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3477 | WP: 0→(17,17)
[18:12:43] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3527 | WP: 0→(17,17)
[18:12:43] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3577 | WP: 0→(17,17)
[18:12:43] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3627 | WP: 0→(17,17)
[18:12:44] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3677 | WP: 0→(17,17)
[18:12:44] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3727 | WP: 0→(17,17)
[18:12:44] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3777 | WP: 0→(17,17)
[18:12:44] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3827 | WP: 0→(17,17)
[18:12:44] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3877 | WP: 0→(17,17)
[18:12:45] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3927 | WP: 0→(17,17)
[18:12:45] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 3977 | WP: 0→(17,17)
[18:12:45] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 4027 | WP: 0→(17,17)
[18:12:45] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 4077 | WP: 0→(17,17)
[18:12:45] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 4127 | WP: 0→(17,17)
[18:12:45] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 4177 | WP: 0→(17,17)
[18:12:46] OVERWORLD | Map: 1 | Pos: (29, 28) | Badges: 0 | Party: 1 | Action: right | Stuck: 4227 | WP: 0→(17,17)
